Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights,Topic 21 words,Topic 21 weights,Topic 22 words,Topic 22 weights,Topic 23 words,Topic 23 weights,Topic 24 words,Topic 24 weights,Topic 25 words,Topic 25 weights,Topic 26 words,Topic 26 weights,Topic 27 words,Topic 27 weights,Topic 28 words,Topic 28 weights
job,10.8,trump,12.6,news,8.0,democrat,11.6,realdonaldtrump,12.5,people,12.1,get,12.0,border,7.8,make,11.6,thank,11.8,state,9.9,country,11.0,go,11.2,big,10.5,american,10.4,new,10.0,say,10.3,year,10.0,want,10.1,hillary,6.4,usa,7.5,vote,9.6,today,9.2,work,9.6,would,9.7,time,10.1,america,10.5,republican,9.0,never,7.0
do,1.4,donald,1.4,fake,7.0,nothing,1.6,whitehouse,1.4,many,1.0,do,1.0,strong,2.8,deal,1.4,makeamericagreatagain,0.7,united,4.8,history,0.7,back,0.6,win,2.5,worker,0.8,york,2.7,call,1.1,many,2.6,dont,2.5,clinton,4.4,china,4.8,need,1.2,honor,2.3,hard,2.9,even,0.6,first,1.0,keep,0.9,party,3.3,look,5.2
economy,0.8,campaign,0.7,medium,3.7,impeachment,1.6,teamtrump,1.0,million,0.4,back,0.6,crime,2.6,bad,0.6,maga,0.7,governor,0.4,must,0.7,well,0.6,tax,1.2,history,0.5,book,0.9,thing,0.6,last,1.1,dems,0.6,crooked,3.8,trade,2.5,senate,0.6,house,2.3,together,0.7,well,0.6,long,0.7,first,0.7,win,1.4,like,4.6
back,0.8,administration,0.5,cnn,1.2,house,0.8,gopchairwoman,0.5,come,0.4,bad,0.6,wall,2.6,story,0.5,support,0.5,help,0.3,much,0.7,keep,0.4,cut,0.9,family,0.5,poll,0.7,wrong,0.5,two,0.9,know,0.6,fbi,1.9,deal,2.3,tax,0.5,whitehouse,1.9,well,0.7,much,0.5,york,0.7,day,0.6,house,1.4,see,3.0
create,0.6,makeamericagreatagain,0.5,story,1.1,left,0.8,live,0.4,know,0.4,ready,0.3,military,2.4,statement,0.4,love,0.5,federal,0.3,well,0.6,way,0.4,night,0.7,whitehouse,0.5,hampshire,0.6,even,0.4,ago,0.8,tax,0.5,bad,1.5,tariff,2.0,election,0.5,day,1.5,help,0.6,joe,0.5,fail,0.6,together,0.5,senate,1.2,good,1.7
million,0.5,obama,0.4,report,0.7,radical,0.8,potus,0.3,kill,0.4,caught,0.3,endorsement,2.0,progress,0.4,florida,0.3,local,0.3,bad,0.5,crazy,0.4,rally,0.7,tax,0.4,deal,0.4,impeachment,0.4,low,0.7,joe,0.5,campaign,1.4,billion,1.7,pelosi,0.5,white,1.4,do,0.6,biden,0.4,much,0.5,nation,0.5,dems,1.2,forward,1.4
tax,0.5,foxnews,0.3,bad,0.7,hoax,0.6,foxnews,0.3,help,0.3,even,0.3,security,1.8,decision,0.3,carolina,0.3,court,0.3,many,0.5,come,0.3,congratulation,0.6,african,0.4,fail,0.4,lie,0.4,first,0.6,open,0.4,russia,1.3,dollar,1.5,tomorrow,0.4,pm,0.8,keep,0.5,run,0.3,take,0.5,one,0.5,approval,1.1,happen,1.3
well,0.5,election,0.2,corrupt,0.6,collusion,0.6,tonight,0.2,support,0.3,need,0.3,total,1.8,call,0.3,rating,0.3,allow,0.3,world,0.5,win,0.3,crowd,0.6,every,0.4,city,0.3,didnt,0.3,come,0.5,take,0.4,collusion,1.1,take,1.2,even,0.4,meeting,0.8,much,0.5,obama,0.3,one,0.5,safe,0.5,rating,1.0,even,1.1
number,0.4,spy,0.2,even,0.5,hunt,0.6,tomfitton,0.2,enemy,0.3,nothing,0.3,vet,1.7,schiff,0.3,service,0.3,give,0.3,ever,0.5,fast,0.2,day,0.6,high,0.4,even,0.3,biden,0.3,unemployment,0.5,didnt,0.4,email,1.0,good,1.1,senator,0.4,join,0.7,bill,0.3,far,0.3,waste,0.4,world,0.4,high,0.5,call,0.8
bring,0.4,poll,0.2,russia,0.5,witch,0.6,sign,0.2,love,0.3,dont,0.2,complete,1.5,mistake,0.3,honor,0.3,mexico,0.2,best,0.4,left,0.2,really,0.6,first,0.4,governor,0.3,nothing,0.3,best,0.5,nothing,0.4,hunt,0.9,come,1.0,voting,0.4,welcome,0.7,good,0.3,like,0.3,last,0.4,let,0.4,must,0.5,one,0.7
